Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MT740485,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC247,29800,complete,India: Talod,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Khatri,H., Puvar,A., Raval,J., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-19,2020-07-10,ssRNA(+)
OQ288261,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,STU_PIMS02,29836,complete,"India: Udaipur, Rajasthan",Homo sapiens,oronasopharynx,"Prajapat,R., Jain,S.",2022-02-08,2023-01-19,ssRNA(+)
MT509497,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC98,29800,complete,India: Una,Homo sapiens,,"Pattani,M., Modi,P., Antala,S., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Jindal,B., Joshi,C., Joshi,M.",2020-05-11,2020-05-23,ssRNA(+)
MT509507,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC97a,29800,complete,India: Una,Homo sapiens,,"Modi,P., Antala,S., Pattani,M., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Nathani,N., Joshi,C., Joshi,M.",2020-05-10,2020-05-23,ssRNA(+)
MT509510,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC97b,29800,complete,India: Una,Homo sapiens,,"Antala,S., Pattani,M., Modi,P., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Chaudhari,A., Joshi,C., Joshi,M.",2020-05-10,2020-05-23,ssRNA(+)
OP781960,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NIB 148222,29726,complete,India: Uttar Pradesh,Homo sapiens,oronasopharynx,"Misra,G., Manzoor,A., Upadhyay,A., Bhushan,B., Anvikar,A.",2021-04-30,2022-12-31,ssRNA(+)
OP787191,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NIB149490,29837,complete,India: Uttar Pradesh,Homo sapiens,oronasopharynx,"Misra,G., Manzoor,A., Upadhyay,A., Bhushan,B., Anvikar,A.",2021-04-23,2022-12-31,ssRNA(+)
OP787253,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NIB149780,29836,complete,India: Uttar Pradesh,Homo sapiens,oronasopharynx,"Misra,G., Manzoor,A., Upadhyay,A., Bhushan,B., Anvikar,A.",2021-04-23,2022-12-31,ssRNA(+)
OP787474,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NIB149855,29836,complete,India: Uttar Pradesh,Homo sapiens,oronasopharynx,"Misra,G., Manzoor,A., Upadhyay,A., Bhushan,B., Anvikar,A.",2021-04-23,2022-12-31,ssRNA(+)
OP787487,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.633,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NIB148228,29836,complete,India: Uttar Pradesh,Homo sapiens,oronasopharynx,"Misra,G., Manzoor,A., Upadhyay,A., Bhushan,B., Anvikar,A.",2021-04-21,2022-12-31,ssRNA(+)
OP787529,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NIB148235,29825,complete,India: Uttar Pradesh,Homo sapiens,oronasopharynx,"Misra,G., Manzoor,A., Upadhyay,A., Bhushan,B., Anvikar,A.",2021-04-21,2022-12-31,ssRNA(+)
MT577015,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,32,29897,complete,India: Uttar Pradesh,Homo sapiens,,"Yadav,P.D., Shete-aich,A., Nyayanit,D.A., Abraham,P.",2020,2020-09-21,ssRNA(+)
OR357636,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,A,29714,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357637,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,B,29748,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357638,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,D,29712,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357639,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,E,29716,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357640,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,F,29731,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357641,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,G,29715,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-03,2023-07-28,ssRNA(+)
OR357642,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,H,29712,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357643,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,I,29685,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357644,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,J,29730,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357646,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.37,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,L,29712,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357647,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.1.15,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,M,29761,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357651,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,T,29705,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357652,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,U,29705,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357653,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,V,29757,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-07-20,2023-07-28,ssRNA(+)
OR357654,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.1.30,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,W,29762,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-07-20,2023-07-28,ssRNA(+)
OR357667,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,A,29716,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357668,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,B,29712,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
OR357670,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,E,29714,complete,"India: Uttar Pradesh, Noida",Homo sapiens,,"Jogi,M.K., Shikha,S., Jha,R., Kumar,R.A., Sah,T., Kumar,R.S., Arif,N., Singh,S., Kumar,P.",2022-01-04,2023-07-28,ssRNA(+)
MW600363,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC453a,29782,complete,India: Vadodara,Homo sapiens,,"Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Kamothi,M., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-24,2021-02-16,ssRNA(+)
MW600436,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC455a,29782,complete,India: Vadodara,Homo sapiens,,"Kumar,D., Saiyed,Z., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kamothi,M., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-24,2021-02-16,ssRNA(+)
MW600453,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC455b,29782,complete,India: Vadodara,Homo sapiens,,"Saiyed,Z., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Kamothi,M., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-24,2021-02-16,ssRNA(+)
MW600461,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC458a,29782,complete,India: Vadodara,Homo sapiens,,"Puvar,A., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Ansari,A., Trivedi,N., Kamothi,M., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-29,2021-02-16,ssRNA(+)
MW600463,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC458b,29782,complete,India: Vadodara,Homo sapiens,,"Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Ansari,A., Trivedi,N., Puvar,A., Kamothi,M., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-29,2021-02-16,ssRNA(+)
MW600627,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC454b,29782,complete,India: Vadodara,Homo sapiens,,"Savaliya,N., Kumar,D., Saiyed,Z., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Patel,Z., Kamothi,M., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-24,2021-02-16,ssRNA(+)
MW595950,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC446,29782,complete,India: Vadodara,Homo sapiens,,"Kamothi,M., Saiyed,Z., Pandya,L., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Duttaroy,B., Mistry,K., Joshi,C., Joshi,M.",2020-12-23,2021-02-12,ssRNA(+)
MW595982,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC447,29782,complete,India: Vadodara,Homo sapiens,,"Duttaroy,B., Pandya,L., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Kamothi,M., Mistry,K., Joshi,C., Joshi,M.",2020-12-23,2021-02-12,ssRNA(+)
MW596415,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC452,29782,complete,India: Vadodara,Homo sapiens,,"Mistry,K., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Saiyed,Z., Ansari,A., Trivedi,N., Puvar,A., Pandit,R., Kamothi,M., Duttaroy,B., Joshi,C., Joshi,M.",2020-12-25,2021-02-12,ssRNA(+)
MT953876,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-374a,29800,complete,India: Vadodara,Homo sapiens,,"Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-09-03,ssRNA(+)
MT953877,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC-374b,29800,complete,India: Vadodara,Homo sapiens,,"Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-09-03,ssRNA(+)
MT806176,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC293a,29800,complete,India: Vadodara,Homo sapiens,,"Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-28,ssRNA(+)
MT806191,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC290b,29796,complete,India: Vadodara,Homo sapiens,,"Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-28,ssRNA(+)
MT806192,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC290a,29796,complete,India: Vadodara,Homo sapiens,,"Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-28,ssRNA(+)
MT808071,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC288,29796,complete,India: Vadodara,Homo sapiens,,"Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-28,ssRNA(+)
MT800013,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC289,29800,complete,India: Vadodara,Homo sapiens,,"Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-07-27,ssRNA(+)
MT800024,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC291,29800,complete,India: Vadodara,Homo sapiens,,"Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800029,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC292a,29791,complete,India: Vadodara,Homo sapiens,,"Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800030,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC292b,29791,complete,India: Vadodara,Homo sapiens,,"Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800043,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC293b,29800,complete,India: Vadodara,Homo sapiens,,"Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800045,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC294,29791,complete,India: Vadodara,Homo sapiens,,"Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800050,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC295,29800,complete,India: Vadodara,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800105,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC296a,29800,complete,India: Vadodara,Homo sapiens,,"Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800284,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC296b,29800,complete,India: Vadodara,Homo sapiens,,"Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800515,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC297b,29800,complete,India: Vadodara,Homo sapiens,,"Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800542,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC298a,29800,complete,India: Vadodara,Homo sapiens,,"Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800758,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC298b,29800,complete,India: Vadodara,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
